y, predicted
-1.533334723319174650e-03,-1.510872039943933487e-03
-1.231943441311861504e-03,-1.659756526350975037e-03
-1.687523121303129234e-03,-1.723106484860181808e-03
-1.608677126914163837e-03,-1.786903012543916702e-03
-1.170897180193758522e-03,-1.827691216021776199e-03
-1.561971455916146521e-03,-1.818221062421798706e-03
-1.558468717024651595e-03,-1.845123711973428726e-03
-1.386244982793641842e-03,-1.845234539359807968e-03
-1.400610931331071340e-03,-1.807741820812225342e-03
-1.615796279103421220e-03,-1.848482992500066757e-03
-1.572785780366552349e-03,-1.814356073737144470e-03
-1.658908946782763905e-03,-1.822825986891984940e-03
-1.504605513513663888e-03,-1.814173068851232529e-03
-1.784636808398408362e-03,-1.845092047005891800e-03
-1.343043136996697334e-03,-1.803846564143896103e-03
-1.572866427861748006e-03,-1.820764970034360886e-03
-1.576473595518150961e-03,-1.806177664548158646e-03
-1.386131353007148768e-03,-1.805687323212623596e-03
-1.493880040794420307e-03,-1.797214616090059280e-03
-1.343055231369193886e-03,-1.792551949620246887e-03
-1.368224978193747924e-03,-1.757594291120767593e-03
-1.605141171647213837e-03,-1.765364781022071838e-03
-1.242569244791254766e-03,-1.783571206033229828e-03
-1.533344474511172395e-03,-1.754431985318660736e-03
-1.504639545828788741e-03,-1.770276110619306564e-03
-1.493873765494986355e-03,-1.760123763233423233e-03
-2.348051373784252552e-03,-1.760312821716070175e-03
-1.547784913920645941e-03,-1.767690293490886688e-03
-1.529886822518979408e-03,-1.747133210301399231e-03
-2.245426222026053811e-03,-1.744028180837631226e-03
-1.360691522000196134e-03,-1.624248456209897995e-03
-1.544317816008255236e-03,-1.683755777776241302e-03
-1.403919425142278587e-03,-1.704690046608448029e-03
-1.486635549313589013e-03,-1.763801556080579758e-03
-1.461539888748674462e-03,-1.828213687986135483e-03
-1.731496801355193261e-03,-1.861552242189645767e-03
-1.230991454566699892e-03,-1.841914840042591095e-03
-1.288688307274549411e-03,-1.848680898547172546e-03
-1.450716549764031506e-03,-1.815793570131063461e-03
-1.364349574083322273e-03,-1.844304148107767105e-03
-1.267271709870090813e-03,-1.809995155781507492e-03
-1.421933992127251672e-03,-1.823397818952798843e-03
-1.378827136868336330e-03,-1.814950723201036453e-03
-1.616126054574071455e-03,-1.831138972193002701e-03
-1.490299189208345873e-03,-1.806039828807115555e-03
-1.242131162403238695e-03,-1.805483363568782806e-03
-1.537058741829245168e-03,-1.770647242665290833e-03
-1.447159341888712598e-03,-1.803036313503980637e-03
-1.231491181097156291e-03,-1.794110052287578583e-03
-7.286038950036195869e-04,-1.748458947986364365e-03
-8.446075091495889578e-04,-1.803012099117040634e-03
-1.640745586697379358e-03,-1.668400596827268600e-03
-1.734010708429938432e-03,-1.634494401514530182e-03
-1.633667601727957280e-03,-1.635059248656034470e-03
-1.640922326748968114e-03,-1.705175731331110001e-03
-1.350356780881217366e-03,-1.748926471918821335e-03
-1.386260995009905034e-03,-1.815566327422857285e-03
-1.551244765194655052e-03,-1.825391314923763275e-03
-1.242799166445628925e-03,-1.827811822295188904e-03
-1.576351831054128433e-03,-1.826121937483549118e-03
-1.500999342871369791e-03,-1.820772886276245117e-03
-1.468728169794962252e-03,-1.833511050790548325e-03
-8.377252169361538211e-04,-1.805608160793781281e-03
-8.062937360353631105e-04,-1.761399675160646439e-03
-1.096880384243376647e-03,-1.568241044878959656e-03
-1.611749721373182320e-03,-1.383850816637277603e-03
-1.375877194065944480e-03,-1.397847197949886322e-03
-1.293708328516033354e-03,-1.477053854614496231e-03
-1.851044190896840476e-03,-1.638755202293395996e-03
-1.583202598680880178e-03,-1.731712371110916138e-03
-1.529589309521839184e-03,-1.769950147718191147e-03
-1.279245509109784530e-03,-1.850811298936605453e-03
-1.558205848868276459e-03,-1.824378501623868942e-03
-1.329383395560234694e-03,-1.848574727773666382e-03
-9.791559305007547891e-04,-1.840968616306781769e-03
-1.722350359714456018e-03,-1.748811919242143631e-03
-1.761721112360148476e-03,-1.727158669382333755e-03
-1.733284981885344165e-03,-1.718717627227306366e-03
-1.572501128840651276e-03,-1.749556511640548706e-03
-1.500989073770455122e-03,-1.808598637580871582e-03
-1.211290647343917035e-03,-1.832300797104835510e-03
-1.558173335864168228e-03,-1.837257761508226395e-03
-1.547459261265029303e-03,-1.841656398028135300e-03
-1.493833806796078046e-03,-1.855609007179737091e-03
-1.397326962318073702e-03,-1.826931256800889969e-03
-1.583172591773228822e-03,-1.812261994928121567e-03
-1.293627379421650667e-03,-1.812126487493515015e-03
-1.511666558340655445e-03,-1.787496265023946762e-03
-1.307951148622215785e-03,-1.777167432010173798e-03
-1.415213288333160317e-03,-1.751704607158899307e-03
-1.715343614300363648e-03,-1.783275511115789413e-03
-1.633237464979092829e-03,-1.780556980520486832e-03
-1.458077791711146843e-03,-1.791039481759071350e-03
-1.518897109110093095e-03,-1.816892530769109726e-03
-1.443738749829260714e-03,-1.804154831916093826e-03
-1.250705779258139312e-03,-1.797656062990427017e-03
-1.479533316039328712e-03,-1.782838720828294754e-03
-1.408059052869307156e-03,-1.785200089216232300e-03
-1.279435961208361594e-03,-1.759470440447330475e-03
-1.290234206546760510e-03,-1.776264049112796783e-03
-1.529521470665110884e-03,-1.749275717884302139e-03
-1.436688324315948864e-03,-1.757800113409757614e-03
